Text                 Label
-----------------  -------
(4x+8 )(2x-8 )=0         1
(x+2)(X+3 )=0            1
(4x+3 )(x-3 )=0          1
( 5x~15 )(4x~2)=0        1
(2x-5 )(3X+2)=0          1
(9x-12)(5x+20 )=0        1
:                        1
x? +11x-26= 0            1
x2+ 8x                   1
+ 15=0                   1
x2_7x+12=0               1
x2_ 5x24=0               1
x? +2x-15=0              1
14                       1
Ox=0                     1
+X2                      1
+                        1
7 + x2                   1
x2_11x+28 = 0            1
18x= -25                 1
x2=17x72                 1
x2_X-30 =0               1
9                        1
x2_9=0                   1
x2                       1
20 = 5                   1
2_121=0                  1
x2                       1
101=-1                   1
x2_49=0                  1
4x2                      1
17=-1                    1
2x2_128 = 0              1
3x2                      1
16 = 227                 1
42_64=0                  1
3x2                      1
55 = 53                  1
2x2+15x+ 25= 0           1
12x2                     1
28x_5=0                  1
2x2_7x-15=0              1
28x2                     1
_85x+ 63= 0              1
19x-12_5x2               1
3x2 +14x-24=0            1
